source_no,name_ko,name_en,cas_no,cas_no_original,physical_state,flash_point,correction,note
32,알파올레핀 C14-C16 설폰산 나트륨,ALPHA OLEFIN,68439-57-6,68439-57-6,고체,-,,
33,암모니아,AMMONIA,7664-41-7,7664-41-7,액체,132℃(가스),,
34,아닐린,ANILINE,62-53-3,62-53-3,액체,70℃,,
35,벤젠,BENZENE,71-43-2,71-43-2,액체,-11℃,,
36,비스페놀A다이글리시딜에테르,BISPHENOL A DIGLYCIDYL ETHER,1675-54-3,1675-54-3,액체,79℃,,
37,부탄,BUTANE,106-97-8,106-97-8,액체,-60℃,,
38,n-부틸알코올,BUTANOL,71-36-3,71-36-3,액체,37℃,,
39,1-부텐,BUTENE,106-98-9,106-98-9,-,인화성 가스,,
40,초산부틸,BUTYL ACETATE,123-86-4,123-86-4,액체,22℃,,
41,노말-부틸아크릴레이트,BUTYL ACRYLATE,141-32-2,141-32-2,액체,36℃,,
42,뷰틸-뷰틸산,BUTYL BUTYRATE,109-21-7,109-21-7,액체,53℃,,
43,"1,3-부탄디올",BUTYLENE,107-88-0,107-88-0,액체,115℃,REVIEW,"영문명 BUTYLENE이 잘못됨(CAS 107-88-0 = 1,3-부탄디올, 한글명은 맞음)"
44,C12-C14 알코올,C12-C14 ALCOHOL,67762-41-8,67762-41-8,액체,126℃,,
45,"클로로포름, 트리클로로메탄",CHLOROFORM,67-66-3,67-66-3,액체,-,,
46,큐멘,CUMENE,98-82-8,98-82-8,액체,31℃,,
47,시클로헥산,CYCLOHEXANE,110-82-7,110-82-7,액체,-20℃,,
48,시클로헥사놀,CYCLOHEXANOL,108-93-0,108-93-0,액체,68℃,,
49,시클로헥사논,CYCLOHEXANONE,108-94-1,108-94-1,액체,44℃,,
50,폴리다이메틸실록산,CYCLOPOLYDIMETHYLSILOXANE,63148-62-9,63148-62-9,액체,>101℃,,
51,디이아이소노닐 프탈산,DIALKYL (C7-C13) PHTHALATES,28553-12-0,28553-12-0,액체,221℃,REVIEW,28553-12-0은 DINP 고유값 → #62와 중복. 디알킬(C7-C13) 프탈레이트는 별도 CAS
52,디클로로메탄,DICHLOROMETHANE,75-09-2,75-09-2,액체,-,,
53,디시클로펜타디엔,DICYCLOPENTADIENE,77-73-6,77-73-6,액체,90℉,,
54,디데실오르토프탈산,DIDECYL ORTHOPHTHALATES,3648-20-2,3648-20-2,액체,254℃,,
55,디에탄올아민,DIETHANOLAMINE,111-42-2,111-42-2,액체,134℃,,
56,다이에틸렌 글리콜,DIETHYLENE GLYCOL,111-46-6,111-46-6,점성의 흡습성 액체,124℃,,
57,디에틸렌글리콜모노에틸에테르,DIETHYLENE GLYCOL MONOETHYL ETHER,111-90-0,111-90-0,액체,96℃,,
58,다이에틸렌글리콜모노메틸에테르,DIETHYLENE GLYCOL MONOMETHYL ETHER,111-77-3,111-77-3,액체,93℃,,
59,디에틸렌 트리아민,DIETHYLENE TRIAMINE,111-40-0,111-40-0,점성의 흡습성 액체,97℃,,
60,디이소부틸케톤,DIISOBUTYL KETONE,108-83-8,108-83-8,액체,49℃,,
61,다이아이소뷰틸렌,DIISOBUTYLENE,25167-70-8,25167-70-8,액체,-5℃,,
62,다이아이소노닐 프탈산,DIISONONYL PHTHALATE,28553-12-0,28553-12-0,액체,221℃,,
63,옥타메틸사이클로테트라실록산,DIMETHYL CYCLICS,556-67-2,556-67-2,액체,56℃,,
64,디메틸디설파이드,DIMETHYL DISULPHIDE,624-92-0,624-92-0,액체,24℃,,
65,디메틸포름아미드,DIMETHYL FORMAMIDE,68-12-2,68-12-2,액체,58℃,,
66,폴리다이메틸실록산,DIMETHYL SILOXANE,63148-62-9,63148-62-9,액체,>101℃,,
67,다이메틸폴리실록산,DIMETHYLPOLYSILOXANE,63148-62-9,63148-62-9,액체,>101℃,,
68,디(2-에틸헥실)프탈레이트,DIOCTYL PHTHALATE,117-81-7,117-81-7,액체,215℃,,
69,디옥틸 테레프탈산,DIOCTYL TEREPHTHLATE,6422-86-2,6422-86-2,액체,238℃,,
70,"4,4'-메틸렌 디(비스)페닐 디이소시아네이트",DIPHENYL METHANE DIISOCYANATE,101-68-8,101-68-8,액체,196℃,,
71,옥시비스프로판올,DIPROPYLENE GLYCOL,25265-71-8,25265-71-8,액체,121℃,,
72,디프로필렌 글리콜메틸 에테르,DIPROPYLENE GLYCOL METHYL ETHER,34590-94-8,34590-94-8,액체,75℃,,
73,에피클로로히드린,EPICHLOROHYDRIN,106-89-8,106-89-8,액체,31℃,,
74,"에탄, 프로판","ETHANE, PROPANE",74-84-0 / 74-98-6,74-84-0 / 74-98-6,액체,31℃,,
75,에탄올,ETHANOL,64-17-5,64-17-5,액체,13℃,,
76,에탄올아민,ETHANOLAMINE,141-43-5,141-43-5,액체,91℃,,
77,에톡시화 알콜,ETHOXYLATED POLYHYDRIC ALCOHOL,68213-23-0,68213-23-0,-,-,,
78,에틸 베타-에톡시프로피온산,ETHYL BETA-ETHOXYPROPIONATE,763-69-9,763-69-9,액체,58℃,,
79,에틸 아크릴레이트,ETHYL ACRYLATE,140-88-5,140-88-5,액체,9℃,,
80,에틸벤젠,ETHYL BENZENE,100-41-4,100-41-4,액체,18℃,,
81,"1,2-디아미노에탄",ETHYLENDIAMINE,107-15-3,107-15-3,흡습성 액체,34℃,,
82,에틸렌,ETHYLENE,74-85-1,74-85-1,가스,-136℃,,
83,이염화에틸렌,ETHYLENE DICHLORIDE,107-06-2,107-06-2,액체,13℃,,
84,에틸렌글리콜,ETHYLENE GLYCOL,107-21-1,107-21-1,액체,111℃,,
85,에틸렌글리콜부틸에테르아세테이트,ETHYLENE GLYCOL BUTYL ETHER ACETATE,112-07-2,112-07-2,액체,78℃,,
86,2-메톡시에탄올,ETHYLENE GLYCOL MONOALKYL ETHERS,109-86-4,109-86-4,액체,39℃,,
87,에틸렌글리콜모노부틸에테르아세테이트,ETHYLENE GLYCOL MONOBUTYL ETHER ACETATE,112-07-2,112-07-2,액체,78℃,,
88,에틸리덴 노보르닌,ETHYLIDENE NORBORNENE,16219-75-3,16219-75-3,액체,28.5℃,,
89,폴리에테르폴리올수지,"Glycerol, propylene oxide, ethylene oxide polymer",9082-00-2,9082-00-2,액체,130-221℃,,
90,2-부톡시에탄올,GLYCOL ETHER,111-76-2,111-76-2,액체,63℃,,
91,헵탄,HEPTANE,142-82-5,142-82-5,액체,-4℃,,
92,1-헥사데센,HEXADECENE,629-73-2,629-73-2,액체,70.4℃,,
93,헥사메틸렌디아민,HEXAMETHYLENEDIAMINE,124-09-4,124-09-4,"고체, 흡습성",85℃,,
94,헥산,HEXANE,110-54-3,110-54-3,액체,-22℃,,
95,헥실렌,HEXENE,592-41-6,124-09-4,-,-26℃,FIXED,124-09-4는 헥사메틸렌디아민(#93). 1-헥센은 592-41-6
96,이소부틸 알코올,ISOBUTANOL,78-83-1,78-83-1,액체,28℃,,
97,초산 이소부틸,ISOBUTYL ACETATE,110-19-0,110-19-0,액체,18℃,,
98,1-노난올,ISONONANOL,143-08-8,143-08-8,액체,93℃,REVIEW,143-08-8은 1-노난올(#5와 중복). 인화점 93℃는 이소노난올(27458-94-2) 값
99,아이소노닐 알코올,ISONONYL ALCOHOL,27458-94-2,27458-94-2,액체,93℃,,
100,이소프렌,ISOPRENE,78-79-5,78-79-5,액체,35℃,,
101,이소프로필 알코올,ISOPROPYL ALCOHOL,67-63-0,67-63-0,액체,11.7℃,,
102,아이소트리데칸올,ISOTRIDECANOL,27458-92-0,27458-92-0,액체,>93.3℃,,
103,메틸 아크릴로니트릴,METHACRYLONITRILE,126-98-7,126-98-7,액체,1.1℃,,
104,메틸 알코올,METHANOL,67-56-1,67-56-1,액체,11.11℃,,
105,메틸시클로헥산,METHYL CYCLOHEXANE,108-87-2,108-87-2,액체,-4℃,,
106,N-메틸다이에탄올아민,METHYL DIETHANOLAMINE,105-59-9,105-59-9,-,136℃,,
107,메틸 에틸 케톤,METHYL ETHYL KETONE,78-93-3,78-93-3,액체,-9℃,,
108,메틸 이소부틸 케톤,METHYL ISOBUTYL KETONE,108-10-1,108-10-1,액체,18℃,,
109,메틸메타크릴레이트,METHYL METHACRYLATE,80-62-6,80-62-6,액체,10℃,,
110,프로필렌 글리콜 모노메틸 에테르,METHYL PROXITOL,107-98-2,107-98-2,액체,38℃,,
111,메틸삼차 부틸에테르,METHYL TERTIARY BUTYL ETHER,1634-04-4,1634-04-4,액체,-28℃,,
112,디클로로메탄,METHYLENE CHLORIDE,75-09-2,75-09-2,액체,-,,
113,메틸렌 디(비스)페닐 디이소시아네이트,METHYLENE DIPHENYL DIISOCYANATE,26447-40-5,26447-40-5,고체,154℃,,
114,디메틸포름아미드,N-DIMETHYL FORMAMIDE,68-12-2,68-12-2,액체,58℃,,
115,질산,NITRIC ACID,7697-37-2,7697-37-2,액체,불연성,,
116,니트로에탄,NITROETHANE,79-24-3,79-24-3,액체,36℃,,
117,1-메틸-2-피롤리디논,N-Methyl-2-pyrrolidone,872-50-4,872-50-4,액체,91℃,,
118,노넨,NONENE,27215-95-8,27215-95-8,액체,26℃,,
119,노말-프로필 알콜,N-PROPANOL,71-23-8,71-23-8,액체,22.2℃,,
120,옥타메틸사이클로테트라실록산,OCTAMETHYLCYCLOTETRASILOXANE,556-67-2,556-67-2,-,56℃,,
121,옥타놀-1,OCTANOL,111-87-5,111-87-5,액체,81℃,,
122,1-옥텐,OCTENE,111-66-0,111-66-0,액체,10℃,,
123,폴리에테르 폴리올 수지,"Oxirane, 2-methyl-, polymer with oxirane",9082-00-2,9082-00-2,액체,130~221℃,,
124,파라-디클로로벤젠,PARA DICHLOROBENZENE,106-46-7,106-46-7,"고체, 결정형",66℃,,
125,N-아밀 알코올,PENTYLOL,71-41-0 외,71-41-0 외,액체,43℃,,
126,퍼클로로에틸렌,PERCHLOROETHYLENE,127-18-4,127-18-4,액체,비인화성,,
127,페놀,PHENOL,108-95-2,108-95-2,고체,79℃,,
128,인산,PHOSPHORIC ACID,7664-38-2,7664-38-2,고체(흡습성),-,,
129,"1,3-펜타디엔","1,3-PENTADIENE",504-60-9,504-60-9,액체,28℃,,
130,폴리알킬렌글리콜에테르,POLY (2-8) ALKYLENE GLYCOL ETHER,109-86-4,109-86-4,액체,39℃,REVIEW,109-86-4는 단량체 2-메톡시에탄올(#86과 중복). 폴리알킬렌글리콜에테르 아님
131,폴리알킬렌글리콜모노알킬에테르,POLY(2-8)ALKYLENE GLYCOL MONOALKYL (C1-C6) ETHER,109-86-4,109-86-4,액체,39℃,REVIEW,동상 (#130과 동일 사유)
132,"1-데센, 호모중합체, 수소화된",POLYALPHAOLEFIN,68037-01-4,68037-01-4,액체(기름),238℃,,
133,폴리에틸렌-폴리프로필렌 글리콜,POLYETHER POLYOL,9003-11-6,9003-11-6,액체,>96℃,,
134,폴리에테르 트리올,POLYETHER TRIOL,9003-11-6,9003-11-6,액체,>96℃,,
135,황산 철,FERRIC SULFATE,10028-22-5,10028-22-5,고체,-,,
136,아이소사이안산 폴리메틸렌 폴리페닐렌에스터,POLYMETHYLENE POLYPHENYL ISOCYANATE,9016-87-9,9016-87-9,액체,215℃,,
137,에텐-1-옥텐 공중합체,POLYOLEFIN,26221-73-8,26221-73-8,고체,-,,
138,폴리프로필렌 트리올,POLYOXYPROPYLENE,25791-96-2,25791-96-2,액체,148~260℃,,
139,수산화 칼륨,POTASSIUM HYDROXIDE,1310-58-3,1310-58-3,고체,불연성,,
140,프로페인,PROPANE,74-98-6,74-98-6,"가스, 액화가스",-105℃,,
141,노말-프로필 알콜,PROPANOL,71-23-8,71-23-8,액체,22.2℃,,
142,프로피온산,PROPIONIC ACID,79-09-4,79-09-4,액체,54℃,,
143,프로필렌,PROPYLENE,115-07-1,115-07-1,가스,-107℃,,
144,프로필렌 글리콜,PROPYLENE GLYCOL,57-55-6,57-55-6,액체(점성액체),104℃,,
145,프로필렌 글리콜 모노메틸 에테르,PROPYLENE GLYCOL METHYL ETHER,107-98-2,107-98-2,액체,38℃,,
146,프로필렌 글리콜 모노메틸 에테르 아세트산,PROPYLENE GLYCOL METHYL ETHER ACETATE,108-65-6,108-65-6,액체,42℃,,
147,프로필렌 글리콜 모노알킬 에테르,PROPYLENE GLYCOL MONOALKYL ETHER,107-98-2,107-98-2,액체,38℃,,
148,"1,2-에폭시프로판",Propylene oxide,75-56-9,75-56-9,액체,-37℃,,
149,프로필렌,PROPYLENE PENTAMER,115-07-1,115-07-1,가스,-107℃,REVIEW,115-07-1은 프로필렌 단량체(#143과 중복). 프로필렌 펜타머는 C15 올리고머
150,알켄,"ALKENES, C10-14-BRANCHED",93821-12-6,93821-12-6,액체,58℃,,
151,아이소부텐,ISOBUTENE,115-11-7,115-11-7,-,-76.1℃,,
152,수산화나트륨,SODIUM HYDROXIDE,1310-73-2,1310-73-2,고체,-,,
153,스테아릴 알코올,STEARYL ALCOHOL,112-92-5,112-92-5,고체,172~177℃,,
154,스티렌,STYRENE MONOMER,100-42-5,100-42-5,액체,31℃,,
155,황산,SULFURIC ACID,7664-93-9,7664-93-9,액체,불연성,,
156,황,SULPHUR,7704-34-9,7704-34-9,고체,160℃,,
157,삼차-도데실 메르캅탄,TERT DODECANETHIOL,25103-58-6,25103-58-6,액체,96℃,,
158,삼차-부틸알콜,TERTIARY BUTYL ALCOHOL,75-65-0,76-65-0,액체,15~23℃,FIXED,tert-부틸알코올은 75-65-0. 76-65-0은 자릿수 오기
159,퍼클로로에틸렌,TETRACHLOROETHYLENE,127-18-4,127-18-4,액체,비인화성,,
160,테트라하이드로푸란,TETRAHYDROFURAN,109-99-9,109-99-9,액체,-14.5℃,,
161,톨루엔,TOLUENE,108-88-3,108-88-3,액체,4℃,,
162,"톨루엔-2,4/2,6-디이소시아네이트",TOLUENE DIISOCYNATE,26471-62-5,26471-62-5,액체,128℃,,
163,트리클로로에틸렌,TRICHLOROETHYLENE,79-01-6,79-01-6,액체,-,,
164,트리에탄올아민,TRIETHANOLAMIN,102-71-6,102-71-6,-,179℃,,
165,도데센,TRI-N-BUTENE,97280-83-6,97280-83-6,액체,71℃,,
166,폴리비닐 아세트산,VINYL ACETATE,9003-20-7,9003-20-7,고체,-,,
167,트리에테르 폴리올 수지,TRIOL POLYETHER POLYOL,9082-00-2,9082-00-2,액체,130~221℃,,
168,염화비닐,VINYL CHLORIDE,75-01-4,75-01-4,기체(액상가스),-78℃,,
169,"자일렌, 크실렌",XYLENE,1330-20-7,1330-20-7,액체,-,,
