port_code,ptent_yr,voyage_no,callsgn,vessel_name,vessel_type_name,vessel_nationality_code,vessel_nationality_name,mrn_no,bl_no,master_bl_no,io_se_code,io_se_name,facility_name,cargo_se_name,cargo_name_raw,dg_un_no,cargo_basis,package_type_name,unload_method_name,vol_ton_unit_name,vol_ton,weight_ton,pod_name,pol_name,arrival_at_utc,customs_progress_status_name,source_system,source_table,collected_at_utc,quality_flag,is_synthetic
KRUSN,2026,080,190005,동방에이스호,기타유조선,KR,대한민국,MRN89782,BL926207,MBL12771,I,수입,S-Oil 1부두,액체,석유제품(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,30433.4,30433.4,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,141,190005,동방에이스호,기타유조선,KR,대한민국,MRN50730,BL883152,MBL43460,O,수입,제4부두,액체,석유제품(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,34394.5,34394.5,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,006,190005,동방에이스호,기타유조선,KR,대한민국,MRN22744,BL454942,MBL75313,O,수입,신항일반부두,액체,석유제품(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,25151.8,25151.8,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,053,5LCP2,레지슬레이터,LPG운반선,KR,대한민국,MRN80857,BL399504,MBL87223,O,수입,제3부두,액체,프로판,1978,PORT-MIS 실선종 기반,벌크,펌프,TON,39669.6,39669.6,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,135,5LCP2,레지슬레이터,LPG운반선,KR,대한민국,MRN99950,BL418272,MBL92016,I,수입,정일1부두,액체,부탄,1011,PORT-MIS 실선종 기반,벌크,펌프,TON,44283.0,44283.0,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,014,5LCP2,레지슬레이터,LPG운반선,KR,대한민국,MRN43311,BL125425,MBL20557,O,수입,SK2부두,액체,프로판,1978,PORT-MIS 실선종 기반,벌크,펌프,TON,17612.6,17612.6,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,063,9V2137,PRINCESS IRIS,석유제품운반선,KR,대한민국,MRN42143,BL554898,MBL82216,I,수출,온산1부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,47905.7,47905.7,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,044,9V2137,PRINCESS IRIS,석유제품운반선,KR,대한민국,MRN30165,BL333156,MBL61118,O,수출,온산1부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,45904.6,45904.6,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,190,DSQF4,케이티에스 화이트,석유제품운반선,KR,대한민국,MRN89983,BL628775,MBL97529,I,수입,OTK1부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,48630.0,48630.0,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,136,DSQF4,케이티에스 화이트,석유제품운반선,KR,대한민국,MRN14687,BL522761,MBL60548,I,수입,온산1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,24039.0,24039.0,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,194,DSQF4,케이티에스 화이트,석유제품운반선,KR,대한민국,MRN34736,BL616665,MBL19804,I,수출,S-Oil 1부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,29417.5,29417.5,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,017,220023,창용1호,석유제품운반선,KR,대한민국,MRN67937,BL545086,MBL82008,I,수출,온산1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,11023.1,11023.1,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,191,D7WC,골드스타 샤인,석유제품운반선,KR,대한민국,MRN13228,BL477805,MBL24141,O,수출,SK8부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,22271.4,22271.4,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,095,D7WC,골드스타 샤인,석유제품운반선,KR,대한민국,MRN49206,BL153837,MBL12069,O,수입,가스부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,48634.1,48634.1,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,003,V7PU7,ORCHID SYLT,석유제품운반선,KR,대한민국,MRN82985,BL883440,MBL97876,O,수입,온산1부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,31714.5,31714.5,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,175,V7PU7,ORCHID SYLT,석유제품운반선,KR,대한민국,MRN15849,BL629910,MBL31460,I,수입,OTK1부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,38986.7,38986.7,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,029,V7PU7,ORCHID SYLT,석유제품운반선,KR,대한민국,MRN98979,BL607850,MBL46219,O,수출,SK2부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,13740.4,13740.4,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,169,BONU9,HONG KAI,LPG운반선,KR,대한민국,MRN55011,BL478768,MBL77532,O,수입,제3부두,액체,프로판,1978,PORT-MIS 실선종 기반,벌크,펌프,TON,34775.5,34775.5,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,036,DSND9,퍼시픽 삼부,석유제품운반선,KR,대한민국,MRN10684,BL355386,MBL32212,O,수출,SK8부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,4980.6,4980.6,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,052,DSND9,퍼시픽 삼부,석유제품운반선,KR,대한민국,MRN35338,BL661830,MBL59890,O,수출,신항일반부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,29037.2,29037.2,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,013,DSND9,퍼시픽 삼부,석유제품운반선,KR,대한민국,MRN17925,BL485384,MBL51643,I,수출,SK8부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,35315.4,35315.4,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,088,170036,17유성호,석유제품운반선,KR,대한민국,MRN93150,BL923172,MBL16544,O,수입,S-Oil 1부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,38774.4,38774.4,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,077,170036,17유성호,석유제품운반선,KR,대한민국,MRN13047,BL808347,MBL13962,O,수입,정일1부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,37092.8,37092.8,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,179,170036,17유성호,석유제품운반선,KR,대한민국,MRN91202,BL673227,MBL30482,I,수입,가스부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,44217.1,44217.1,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,103,210036,경성,석유제품운반선,KR,대한민국,MRN22774,BL695798,MBL79142,O,수출,제4부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,9937.7,9937.7,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,041,210036,경성,석유제품운반선,KR,대한민국,MRN10387,BL362514,MBL48787,I,수입,온산1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,22066.7,22066.7,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,168,210036,경성,석유제품운반선,KR,대한민국,MRN27275,BL703164,MBL84122,O,수입,SK8부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,26982.3,26982.3,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,056,210003,21동방호,석유제품운반선,KR,대한민국,MRN19325,BL168051,MBL13152,O,수출,제4부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,26597.5,26597.5,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,124,V7HE2,MARLIN AMMOLITE,석유제품운반선,KR,대한민국,MRN59337,BL883285,MBL82070,I,수입,SK8부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,44011.2,44011.2,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,097,9V6167,GOLDEN CYGNUS,케미칼운반선,KR,대한민국,MRN88759,BL532481,MBL26618,O,수출,제3부두,액체,메탄올,1230,PORT-MIS 실선종 기반,벌크,펌프,TON,26904.1,26904.1,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,025,9V6167,GOLDEN CYGNUS,케미칼운반선,KR,대한민국,MRN28568,BL748127,MBL69043,I,수출,OTK1부두,액체,스티렌,2055,PORT-MIS 실선종 기반,벌크,펌프,TON,7407.2,7407.2,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,112,9V6167,GOLDEN CYGNUS,케미칼운반선,KR,대한민국,MRN27942,BL233351,MBL52433,I,수출,S-Oil 1부두,액체,메탄올,1230,PORT-MIS 실선종 기반,벌크,펌프,TON,28434.5,28434.5,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,147,V7A6600,ADVANTAGE VERITY,원유운반선,KR,대한민국,MRN53549,BL257746,MBL58249,O,수출,SK2부두,액체,원유,1267,PORT-MIS 실선종 기반,벌크,펌프,TON,5188.7,5188.7,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,199,V7A6600,ADVANTAGE VERITY,원유운반선,KR,대한민국,MRN90087,BL160675,MBL70979,O,수입,S-Oil 1부두,액체,원유,1267,PORT-MIS 실선종 기반,벌크,펌프,TON,31701.4,31701.4,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,018,D7TX,와이엔 광양,케미칼운반선,KR,대한민국,MRN77283,BL216828,MBL37919,O,수출,가스부두,액체,메탄올,1230,PORT-MIS 실선종 기반,벌크,펌프,TON,39334.6,39334.6,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,018,170035,두라썬,석유제품운반선,KR,대한민국,MRN32634,BL594500,MBL70932,I,수출,가스부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,31781.0,31781.0,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,037,161008,우찬,케미칼운반선,KR,대한민국,MRN68797,BL939976,MBL82190,O,수입,SK2부두,액체,메탄올,1230,PORT-MIS 실선종 기반,벌크,펌프,TON,6274.7,6274.7,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,026,161008,우찬,케미칼운반선,KR,대한민국,MRN91399,BL182927,MBL60627,O,수입,SK8부두,액체,톨루엔,1294,PORT-MIS 실선종 기반,벌크,펌프,TON,22866.1,22866.1,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,088,200009,송양1호,석유제품운반선,KR,대한민국,MRN77144,BL600299,MBL44170,O,수출,제3부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,31965.7,31965.7,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,123,300TNLETO,티앤 레토,석유제품운반선,KR,대한민국,MRN82215,BL519684,MBL63178,I,수출,OTK1부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,13556.5,13556.5,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,187,300TNLETO,티앤 레토,석유제품운반선,KR,대한민국,MRN34219,BL300225,MBL11005,I,수입,SK2부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,45937.0,45937.0,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,045,240019,천왕,석유제품운반선,KR,대한민국,MRN67714,BL732546,MBL41294,I,수출,제4부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,27934.3,27934.3,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,006,240019,천왕,석유제품운반선,KR,대한민국,MRN68116,BL853277,MBL18963,O,수입,SK2부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,4327.5,4327.5,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,146,176801,아람,석유제품운반선,KR,대한민국,MRN59990,BL929005,MBL30689,I,수입,정일1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,41303.8,41303.8,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,082,184803,진양1호,석유제품운반선,KR,대한민국,MRN30869,BL438678,MBL33191,O,수입,온산1부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,14661.5,14661.5,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,123,184803,진양1호,석유제품운반선,KR,대한민국,MRN78063,BL505630,MBL78079,O,수출,SK8부두,액체,휘발유,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,36737.4,36737.4,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,144,D8QR,성호갤럭시호,케미칼운반선,KR,대한민국,MRN50148,BL212997,MBL34860,I,수입,SK8부두,액체,스티렌,2055,PORT-MIS 실선종 기반,벌크,펌프,TON,39123.9,39123.9,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,075,D8QR,성호갤럭시호,케미칼운반선,KR,대한민국,MRN91818,BL140110,MBL59033,O,수입,SK2부두,액체,아세톤,1090,PORT-MIS 실선종 기반,벌크,펌프,TON,6281.0,6281.0,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,123,D8QR,성호갤럭시호,케미칼운반선,KR,대한민국,MRN47779,BL531268,MBL25914,O,수입,SK8부두,액체,스티렌,2055,PORT-MIS 실선종 기반,벌크,펌프,TON,46841.2,46841.2,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,024,120059,부양에이스,석유제품운반선,KR,대한민국,MRN32976,BL492851,MBL41673,I,수출,S-Oil 1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,939.1,939.1,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,038,120059,부양에이스,석유제품운반선,KR,대한민국,MRN28732,BL136908,MBL41152,I,수입,SK8부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,33447.0,33447.0,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,181,HSB9725,PILATUS 66,LPG운반선,KR,대한민국,MRN29814,BL609281,MBL13601,O,수출,SK8부두,액체,부탄,1011,PORT-MIS 실선종 기반,벌크,펌프,TON,21046.7,21046.7,울산,DALIAN,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,167,V7RC7,FRONT LYNX,석유제품운반선,KR,대한민국,MRN24411,BL298501,MBL53648,I,수출,OTK1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,44870.5,44870.5,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,043,V7RC7,FRONT LYNX,석유제품운반선,KR,대한민국,MRN44633,BL105146,MBL26998,I,수입,신항일반부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,34248.2,34248.2,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,125,V7RC7,FRONT LYNX,석유제품운반선,KR,대한민국,MRN39869,BL220051,MBL54985,O,수출,OTK1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,21427.5,21427.5,울산,휴스턴,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,053,3ECG6,SUN VENUS,석유제품운반선,KR,대한민국,MRN12035,BL745553,MBL21128,I,수출,SK2부두,액체,나프타,1268,PORT-MIS 실선종 기반,벌크,펌프,TON,7633.1,7633.1,울산,SINGAPORE,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,192,BPMR2,HUA HANG HE SHUN,석유제품운반선,KR,대한민국,MRN85839,BL351520,MBL81473,I,수입,가스부두,액체,경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,25862.8,25862.8,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
KRUSN,2026,006,BPMR2,HUA HANG HE SHUN,석유제품운반선,KR,대한민국,MRN14449,BL487062,MBL42394,O,수출,S-Oil 1부두,액체,등유,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,32805.7,32805.7,울산,여수,2026-07-24 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-07-26 05:32:53.301751+00:00,OK,True
